"species","LatinName","Type"
"AGSM","Agropyron smithii","C3grass"
"ALTE","Allium textile","Forb"
"ARFR","Artemisia frigida","Shrub"
"ARLO","Aristida longiseta","C4grass"
"ASCR","Astragulas species","Remove"
"ASGR","Astragalus gracilis","Forb"
"ASOX","Astragalus or Oxytropis species","Forb"
"ATCA","Atriplex canescens","Shrub"
"BOGR","Bouteloua gracilis","C4grass"
"BUDA","Buchloe dactyloides","C4grass"
"CAFI","Carex filifolia","Forb"
"CAHE","Carex eleocharis","Forb"
"CHAL","Chenopodium album","AnnBienn"
"CHIN","Chenopodium incanum","AnnBienn"
"CHLE","Chenopodium leptophyllum","AnnBienn"
"CHNA","Chrysothamnus nauseosus","Shrub"
"CHVI","Chrysothamnus viscidiflorus","Shrub"
"COVI","Coryphantha vivipara","Succulent"
"CVIL","Chrysopsis villosa","Forb"
"DACA","Dalea candida","Forb"
"EREF","Eriogonum effusum","Shrub"
"EUGL","Euphorbia glyptosperma","AnnBienn"
"EXOT","unknown exotic","Remove"
"FEOC","see VUOC (Vulpia octoflora)","AnnBienn"
"FORB","unknown forb","Forb"
"GACO","Gaura coccinea","Forb"
"GRAS","unknown grass","Remove"
"GRSQ","Grindelia squarrosa","Forb"
"GUSA","Gutierrezia sarothrae","Shrub"
"HASP","Haplopappus spinulosus","Forb"
"HEAN","Helianthus annuus","AnnBienn"
"HEPE","Helianthus petiolaris","AnnBienn"
"HOJU","Hordeum jubatum","C3grass"
"IPLA","Ipomopsis laxiflora","AnnBienn"
"KOSC","Kocha scoparia","AnnBienn"
"LARE","Lappula redowskii","AnnBienn"
"LEDE","Lepidium densiflorum","AnnBienn"
"LIIN","Lithosperma incisum","Forb"
"LUPU","Lupinus pusillus","Forb"
"LYJU","Lygodesmia juncea","Forb"
"MATA","Machaeranthera tanacetifolia","AnnBienn"
"MILI","Mirabilis linearis","Forb"
"MUTO","Muhlenbergia torreyi","C3grass"
"OECO","Oenothera coronopifolia","Forb"
"OPPO","Opuntia polycantha","Succulent"
"ORFA","Orobanche fasciculata","AnnBienn"
"ORHY","Oryzopsis hymenoides","C3grass"
"PEAL","Penstemon albidus","Forb"
"PEAN","Penstemon angustifolius","Forb"
"PEGR","Penstemon gracilis","Forb"
"PESE","Penstemon secundiflorus","Forb"
"PIOP","Picradeniopsis oppositifolia","Forb"
"PLPA","Plantago patagonica","AnnBienn"
"POOL","Portulaca oleracea","AnnBienn"
"PSTE","Psoralea tenuiflora","Forb"
"SAIB","Salsola iberica","AnnBienn"
"SCPA","Schedonnardis paniculatus","C3grass"
"SETR","Senecio tridenticulatus","Forb"
"SHRB","unknown shrub","Remove"
"SIHY","Sitanion hystrix","C3grass"
"SPCO","Sphaeralcea coccinea","Forb"
"SPCR","Sporobolus cryptandrus","C4grass"
"STCO","Stipa comata","C3grass"
"TAPA","Talinum parviflorum","Forb"
"THFI","Thelesperma flifolium","Forb"
"THME","Thelesperma megapotamicum","Forb"
"TOGR","Townsendia grandiflora","AnnBienn"
"TRDU","Tragopogon dubius","AnnBienn"
"TROC","Tradescantia occidenalis","Forb"
"UNKN","Unknown (*bag not labelled)","Remove"
